slot_id,week,section_id,course_id,faculty,day,start,end,room_number
W3_Tue_S1,3,PBM_B,PBM,Prof. Aditya Shankar Mishra,Tue,09:00,10:30,Room_1
W3_Tue_S1,3,PRI_A,PRI,Prof. Shweta Jha,Tue,09:00,10:30,Room_2
W3_Tue_S2,3,CB_B,CB,Prof. M. Jyotsna Soni,Tue,10:45,12:15,Room_1
W3_Tue_S2,3,FIS_A,FIS,Prof. Prasenjit Chakrabarti,Tue,10:45,12:15,Room_2
W3_Tue_S2,3,GMRM_A,GMRM,Prof. Piyali Ghosh,Tue,10:45,12:15,Room_3
W3_Tue_S3,3,EMPP_B,EMPP,Prof. Rajasekhar David,Tue,12:30,14:00,Room_1
W3_Tue_S3,3,IMC_A,IMC,Prof. T. Sai Vijay,Tue,12:30,14:00,Room_2
W3_Tue_S3,3,IM_B,IM,Prof. Anand,Tue,12:30,14:00,Room_3
W3_Tue_S4,3,CCS_A,CCS,Prof. Rohit Kumar,Tue,14:45,16:15,Room_1
W3_Tue_S4,3,DMPA_B,DMPA,Prof. Pradip Kumar Bala,Tue,14:45,16:15,Room_2
W3_Tue_S4,3,ODC_B,ODC,Prof. Viraj Varma,Tue,14:45,16:15,Room_3
W3_Tue_S5,3,EMPP_B,EMPP,Prof. Rajasekhar David,Tue,16:30,18:00,Room_1
W3_Tue_S5,3,FIS_A,FIS,Prof. Prasenjit Chakrabarti,Tue,16:30,18:00,Room_2
W3_Tue_S5,3,IM_B,IM,Prof. Anand,Tue,16:30,18:00,Room_3
W3_Tue_S6,3,BV_A,BV,Prof. Anand,Tue,18:15,19:45,Room_1
W3_Tue_S6,3,IMC_B,IMC,Prof. T. Sai Vijay,Tue,18:15,19:45,Room_2
W3_Wed_S1,3,FIS_B,FIS,Prof. Prasenjit Chakrabarti,Wed,09:00,10:30,Room_1
W3_Wed_S1,3,GMRM_A,GMRM,Prof. Piyali Ghosh,Wed,09:00,10:30,Room_2
W3_Wed_S1,3,SCM_A,SCM,Prof. Pritee Ray,Wed,09:00,10:30,Room_3
W3_Wed_S2,3,PBM_B,PBM,Prof. Aditya Shankar Mishra,Wed,10:45,12:15,Room_1
