course_id,student_id
DWDV,M174-24
DWDV,M188-24
DWDV,M197-24
DWDV,M214-24
DWDV,M220-24
DWDV,M223-24
DWDV,M246-24
DWDV,M262-24
DWDV,M269-24
DT,BA002-24
DT,BA003-24
DT,BA004-23
DT,BA006-24
DT,BA008-24
DT,BA009-24
DT,BA012-24
DT,BA013-24
DT,BA014-24
DT,BA015-24
DT,BA017-24
DT,BA018-24
DT,BA020-24
DT,BA025-24
DT,BA026-24
DT,BA028-24
DT,BA029-24
DT,BA030-24
DT,BA032-24
DT,BA033-24
DT,BA035-24
DT,BA038-24
DT,BA039-24
DT,BA040-24
DT,BA041-24
DT,BA046-24
DT,BA052-24
DT,BA055-24
DT,IPM061-21
DT,IPM071-21
DT,M006-24
DT,M015-24
DT,M022-24
DT,M027-24
DT,M036-24
DT,M060-24
DT,M075-24
DT,M095-24
DT,M097-24
DT,M099-24
DT,M105-24
DT,M110-24
DT,M114-24
DT,M125-23
DT,M139-24
DT,M143-24
DT,M166-24
DT,M178-24
DT,M198-24
DT,M213-24
DT,M246-24
DT,M258-24
DT,BA004-24
DT,BA005-24
DT,BA007-24
DT,BA010-24
DT,BA011-24
DT,BA019-24
DT,BA021-24
DT,BA022-24
DT,BA036-24
DT,BA037-24
DT,BA042-24
DT,BA043-24
DT,BA044-24
DT,BA047-24
DT,BA048-24
DT,BA049-24
DT,BA050-24
DT,BA051-24
DT,BA054-24
DT,IPM003-21
DT,IPM006-21
DT,IPM009-21
DT,IPM034-21
DT,IPM039-21
DT,IPM041-21
DT,IPM048-21
DT,IPM072-21
DT,IPM076-21
DT,IPM080-21
DT,IPM085-21
DT,IPM097-21
DT,IPM102-21
DT,M004-24
DT,M012-24
DT,M023-24
DT,M024-24
DT,M026-24
DT,M032-24
DT,M035-24
DT,M040-23
DT,M042-24
DT,M064-24
DT,M068-24
DT,M069-24
DT,M096-24
DT,M098-24
DT,M105-23
DT,M141-24
DT,M171-23
DT,M197-24
DT,M200-23
DT,M208-23
DT,M215-24
DT,M219-24
DT,M220-24
DT,M249-23
DT,M260-24
DT,M268-24
IMKT,BA010-24
IMKT,BA014-24
IMKT,BA015-24
IMKT,BA025-24
IMKT,BA026-24
IMKT,BA028-24
IMKT,BA029-24
IMKT,BA037-24
IMKT,BA039-24
IMKT,BA040-24
IMKT,BA048-24
IMKT,BA049-24
IMKT,H047-24
IMKT,IPM011-21
IMKT,IPM033-21
IMKT,IPM039-21
IMKT,IPM061-21
IMKT,IPM114-21
IMKT,IPM118-21
IMKT,M010-23
IMKT,M013-24
IMKT,M023-24
IMKT,M048-24
IMKT,M049-23
IMKT,M055-24
IMKT,M057-24
IMKT,M067-24
IMKT,M085-24
IMKT,M102-24
IMKT,M105-24
IMKT,M116-24
IMKT,M126-24
IMKT,M130-24
IMKT,M132-24
IMKT,M137-24
IMKT,M144-24
IMKT,M152-24
IMKT,M154-24
IMKT,M159-24
IMKT,M165-24
IMKT,M184-24
IMKT,M186-23
IMKT,M200-23
IMKT,M204-24
IMKT,M205-24
IMKT,M214-24
IMKT,M217-24
IMKT,M229-24
IMKT,M230-24
IMKT,M235-24
IMKT,M237-24
IMKT,M240-24
IMKT,M248-24
IMKT,M251-24
IMKT,M258-24
IMKT,M271-24
IMKT,BA003-24
IMKT,BA004-24
IMKT,BA007-24
IMKT,BA012-24
IMKT,BA022-24
IMKT,BA024-24
IMKT,BA030-24
IMKT,BA033-24
IMKT,BA035-24
IMKT,BA036-24
IMKT,BA041-24
IMKT,BA043-24
IMKT,BA044-24
IMKT,BA047-24
IMKT,BA052-24
IMKT,BA054-24
IMKT,BA055-24
IMKT,H011-24
IMKT,IPM002-21
IMKT,IPM015-21
IMKT,IPM016-21
IMKT,IPM020-21
IMKT,IPM023-21
IMKT,IPM034-21
IMKT,IPM041-21
IMKT,IPM045-21
IMKT,IPM048-21
IMKT,IPM051-21
IMKT,IPM053-21
IMKT,IPM057-21
IMKT,IPM073-21
IMKT,IPM087-21
IMKT,IPM088-21
IMKT,IPM094-21
IMKT,IPM102-21
IMKT,IPM112-21
IMKT,IPM117-21
IMKT,M001-24
IMKT,M010-24
IMKT,M046-24
IMKT,M049-24
IMKT,M073-24
IMKT,M093-24
IMKT,M096-24
IMKT,M124-24
IMKT,M145-24
IMKT,M157-24
IMKT,M170-24
IMKT,M172-24
IMKT,M175-24
IMKT,M180-24
IMKT,M189-24
IMKT,M190-24
IMKT,M203-24
IMKT,M209-24
IMKT,M215-24
IMKT,M221-24
IMKT,M225-24
IMKT,M227-24
IMKT,M232-24
IMKT,M249-23
IMKT,M251-23
IMKT,M254-24
IMKT,M255-24
IMKT,M257-24
IMKT,M261-24
IMKT,M267-24
IMKT,M268-24
PBM,BA004-24
PBM,BA009-24
PBM,BA022-24
PBM,BA024-24
PBM,BA025-24
PBM,BA033-24
PBM,IPM011-21
PBM,IPM017-21
PBM,IPM018-21
PBM,IPM032-21
PBM,IPM040-21
PBM,IPM041-21
PBM,IPM060-21
PBM,IPM088-21
PBM,IPM100-21
PBM,IPM118-21
PBM,M001-24
PBM,M006-24
PBM,M014-24
PBM,M020-24
PBM,M025-24
PBM,M034-24
PBM,M035-24
PBM,M042-24
PBM,M043-24
PBM,M057-24
PBM,M058-24
PBM,M065-24
PBM,M072-24
PBM,M079-24
PBM,M084-24
PBM,M089-24
PBM,M099-24
PBM,M104-24
PBM,M108-24
PBM,M114-24
PBM,M116-24
PBM,M118-24
PBM,M124-24
PBM,M128-24
PBM,M130-24
PBM,M132-24
PBM,M134-24
PBM,M141-24
PBM,M142-24
PBM,M147-24
PBM,M155-24
PBM,M168-24
PBM,M177-24
PBM,M191-24
PBM,M196-24
PBM,M200-24
PBM,M204-24
PBM,M205-24
PBM,M209-24
PBM,M219-24
PBM,M225-24
PBM,M226-24
PBM,M232-24
PBM,M235-24
PBM,M238-24
PBM,M247-24
PBM,M248-24
PBM,M251-24
PBM,M256-24
PBM,M259-24
PBM,M267-24
PBM,M269-24
PBM,BA003-24
PBM,BA007-24
PBM,BA014-24
PBM,BA015-24
PBM,BA018-24
PBM,BA028-24
PBM,BA030-24
PBM,BA031-24
PBM,BA035-24
PBM,BA036-24
PBM,BA037-24
PBM,BA039-24
PBM,BA040-24
PBM,BA046-24
PBM,BA052-24
PBM,IPM005-21
PBM,IPM006-21
PBM,IPM021-21
PBM,IPM052-21
PBM,IPM058-21
PBM,IPM061-21
PBM,IPM070-21
PBM,IPM071-21
PBM,IPM072-21
PBM,IPM078-21
PBM,IPM079-21
PBM,IPM097-21
PBM,IPM122-21
PBM,IPM123-21
PBM,M002-24
PBM,M003-24
PBM,M011-24
PBM,M015-24
PBM,M018-24
PBM,M022-24
PBM,M029-24
PBM,M038-24
PBM,M039-24
PBM,M040-24
PBM,M041-24
PBM,M044-24
PBM,M045-24
PBM,M052-24
PBM,M091-24
PBM,M105-23
PBM,M106-24
PBM,M120-24
PBM,M122-24
PBM,M123-24
PBM,M126-24
PBM,M144-24
PBM,M149-24
PBM,M154-24
PBM,M169-24
PBM,M170-24
PBM,M175-24
PBM,M185-24
PBM,M186-24
PBM,M201-24
PBM,M206-24
PBM,M211-24
PBM,M214-24
PBM,M215-24
PBM,M217-24
PBM,M221-24
PBM,M223-24
PBM,M227-24
PBM,M245-24
PBM,M254-24
PBM,M260-24
PBM,M265-24
PBM,M266-24
SDM,IPM009-21
SDM,IPM022-21
SDM,IPM040-21
SDM,IPM053-21
SDM,IPM060-21
SDM,IPM079-21
SDM,IPM094-21
SDM,IPM100-21
